condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,exp.clicked,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88008.5800000088,1182,649,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88042.56000000169,1086,637,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88075.78500000818,1232,467,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88109.84000000462,1119,583,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88576.16500000586,424,196,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88607.34500001126,451,460,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88643.81500000309,431,523,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88674.27000000316,523,533,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88712.45000000636,746,702,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88741.33000000438,889,719,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
