condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85038.16000000006,1275,353,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85080.1649999994,1222,329,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85136.82500000141,1195,317,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85179.10499999925,1281,298,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85250.88500000129,970,327,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85298.53000000003,1051,298,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85352.49000000113,1089,331,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85404.96500000154,966,270,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85447.28500000201,472,341,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,85517.89999999892,887,216,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
